pid,rating_average,reviews_count,item,price,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,category
48256175.0,0.0,0,Sách kỹ năng sống và nuôi dưỡng tâm hồn (COMBO SÁCH VĂN HỌC THIẾU NHI 02 cuốn: Cuộc sống bao điều hay + Ờ kìa! Tuổi thơ!),92900.0,Việt An Book,2019-10-07 10:59:15,,Bìa mềm,165.0,sách văn học
48259483.0,0.0,0,"Sách rèn luyện tư duy cho học sinh (COMBO 2 cuốn sách rèn luyện kỹ năng: 100 CÂU ĐỐ RÈN LUYỆN TƯ DUY KHÁM PHÁ CUỘC SỐNG QUANH TA + NHÌN HÌNH GIẢI ĐỐ 100 CÂU THÀNH NGỮ, TỤC NGỮ VIỆT NAM",93200.0,Việt An Book,2019-12-31 11:32:38,,Bìa mềm,115.0,sách tư duy
48323805.0,0.0,0,Sách Người trong muôn nghề,169000.0, NXB Hồng Đức,2019-12-30 22:43:02,,Bìa gập,216.0,sách
48461905.0,0.0,0,"Cẩm Nang An Toàn, Vệ Sinh Thực Phẩm – Quy Định Về Sử Dụng, Quản Lý Phụ Gia Thực Phẩm Áp Dụng Đối Với Các Tổ Chức, Cá Nhân, Doanh Nghiệp – Xử Phạt Vi Phạm Hành Chính Về An Toàn Thực Phẩm",240000.0,Pháp Luật Sài Gòn Hà Nội,,,Bìa mềm,400.0,sách chính trị
48592472.0,4.8,1745,Combo Truyện Tranh Song Ngữ Việt - Anh Cho Bé (12 Tập),119000.0,Đinh Tị,2020-02-02 00:00:00,14.5 x 20.5 cm,Bìa mềm,,sách tiếng việt
48613094.0,4.8,289,Những Cuốn Sách Thay Đổi Lịch Sử,292000.0,Công Ty Cổ Phần Văn Hóa Đông A,2020-02-02 00:00:00,25 x 30,Bìa cứng,256.0,sách lịch sử
48615465.0,0.0,0,Cuốn Sách Mà Mọi Thiếu Nhi Đều Thích: Sách Tương Tác - Sách Âm Thanh - Âm Thanh Của Thiên Nhiên,199000.0,Đinh Tị,,,Bìa mềm,,sách thiếu nhi
48635380.0,0.0,0, Combo 3 cuốn truyện Nguyễn Nhật Ánh:  Bàn có 5 chỗ ngồi + Bồ câu không đưa thư + Bong bóng lên trời,154000.0,NXB Trẻ,,,Bìa mềm,,sách nhật bản
48699911.0,4.8,103,Combo Inbound Marketing + Inbound Selling + Inbound Content + Inbound PR (4 cuốn),389200.0,First News - Trí Việt,2020-02-02 00:00:00,"14,5 x 20,5 cm",Bìa mềm,,sách kinh tế
48752755.0,4.7,166,Đọc Sách Cộng Hưởng,58100.0,Tân Việt,,,,,sách
48758275.0,0.0,0,"Cuốn Tiểu Thuyết Lãng Mạn: Gió Ngừng Thổi, Tình Còn Vương",69420.0,Đinh Tị,,,Bìa mềm,,sách tiểu thuyết
48758455.0,0.0,0,Cuốn Sách Văn Học Hay: Nắng Đồng Bằng,91350.0,Đinh Tị,,,Bìa mềm,,sách văn học
48759214.0,0.0,0,Combo 2 Cuốn Kiến Thức - Bách Khoa Cho Trẻ: Bách Khoa Tri Thức Về Khám Phá Thế Giới Cho Trẻ Em - Thiên Văn Học + 100 Bí Ẩn Đáng Kinh Ngạc Về Khoa Học (Bộ Sách Thiếu Nhi Bán Chạy Trong Tháng),150500.0,Đinh Tị,,,Bìa cứng,,sách thiếu nhi
49055966.0,0.0,0,Cuốn Sách Tư Duy - Kỹ Năng Sống Hay Mọi Người Đều Nên Có: Kỹ Năng Đọc Sách Hiệu Quả,89100.0,1980 Books,,,Bìa mềm,,sách kĩ năng sống
49180492.0,4.8,96,Tư Duy Hình Ảnh,85700.0,VanLangBooks,,,,,sách tư duy
49186247.0,0.0,0,Cuốn Tiểu Thuyết Lãng Bạn dành Cho Bạn Trẻ: Nếu Không Là Tình Yêu ( Tâm Lí Tình Cảm),102960.0,Đinh Tị,,,Bìa mềm,,sách tình cảm
49192084.0,0.0,0,Combo Sách Thiếu Nhi (2 Cuốn): Cuốn Sách Khổng Lồ Về Tên Lửa Và Các Thiết Bị Vũ Trụ + Cuốn Sách Khổng Lồ Về Cơ Thể Người (Sách Tương Tác - Big Book),302400.0,Đinh Tị,,,Bìa cứng,,sách thiếu nhi
49192364.0,0.0,0,Combo Sách Thiếu Nhi Bán Chạy: Cuốn Sách Khổng Lồ Về Các Loài Động Vật Biển + Cuốn Sách Tranh Khổng Lồ Về Khủng Long (Sách Kiến Thức - Bách Khoa Hay Cho Trẻ),271500.0,Đinh Tị,,,Bìa cứng,,sách thiếu nhi
49204091.0,4.7,376,Lịch Sử Do Thái,286000.0,Omega Plus,2020-02-02 00:00:00,16 x 24 cm,Bìa cứng,892.0,sách lịch sử
49226544.0,0.0,0,"Tuyển Chọn Các Bài Diễn Văn, Phát Biểu, Mẫu Văn Bản Thường Dùng Trong Các Cuộc Họp, Hội Nghị, Hội Thảo, Diễn Đàn Tại Cơ Quan, Đơn Vị Hành Chính Sự Nghiệp - Doanh Nghiệp",295000.0,Nhà sách Lao Động,2020-02-02 00:00:00,,Bìa mềm,400.0,sách chính trị
49410470.0,0.0,0,Combo Sách Văn Học Hay: Thương Nhau Để Đó (Tái Bản) + Yêu Đi Rồi Khóc (Tái Bản 2019),181500.0,Đinh Tị,,,Bìa mềm,,sách văn học
49507063.0,0.0,0,"Sách Kinh Tế Hấp Dẫn: PDCA Chuyên Nghiệp (Sách Quản Lý, Quản Trị Dự Án Đáng Đọc)",84000.0,Thái Hà,,,Bìa mềm,,sách kinh tế
49744649.0,0.0,0,Một cuốn sách xuất sắc về tình yêu phần cuối: Delirium 3 - Lễ cầu hồn,91500.0,Đinh Tị,,,,,sách tình cảm
49747007.0,4.8,1732,Hai Mặt Của Gia Đình,70560.0,AZ Việt Nam,2020-03-02 00:00:00,14.5 x 20.5 cm,Bìa mềm,290.0,sách tiếng việt
49873790.0,0.0,0,Cuốn truyện ngôn tình không thể bỏ lỡ của Tác giả Diệp Lạc Vô Tâm: Sự dịu dàng khó cưỡng 79N - 2019,79000.0,Đinh Tị,,,,,sách tình cảm
50047485.0,0.0,0,Tác phẩm  lọt vào danh sách những tiểu thuyết hay nhất mọi thời đại của văn học Mỹ:  Những Cuộc Phiêu Lưu Của Huckleberry Finn,86500.0,Đinh Tị,,,,,sách văn học
50191991.0,0.0,0,Combo 2 Cuốn Sách Ngôn Tình Đặc Sắc: Mãi Mãi Là Bao Xa + Nơi Nào Đông Ấm Nơi Nào Hạ Mát,236700.0,Đinh Tị,,,Bìa mềm,876.0,sách tình cảm
50215993.0,0.0,0,Combo Sách Nguyễn Nhật Ánh (Bộ 10 Cuốn),792000.0,NXB Trẻ,,,,,sách nhật bản
50240864.0,4.8,104,Sách IRED Books - Tuổi Trẻ Tự Vấn - Vũ Đức Trí Thể,76000.0,VIỆN GIÁO DỤC IRED,2020-03-01 00:00:00,12 x 20 cm,Bìa mềm,248.0,sách
50277314.0,0.0,0,Combo Sách Kỹ Năng Sống Hay: Ba Người Thầy Vĩ Đại + Bắt Đầu Với Câu Hỏi Tại Sao?,174720.0,Thái Hà,,,Bìa mềm,,sách kĩ năng sống
50319309.0,4.8,4,Sách 600 động từ bất quy tắc trong tiếng anh,46900.0,MCBOOKS,,,Bìa mềm,172,sách tiếng anh
50322357.0,0.0,0,Tri Thức Bách Khoa - Giải Mã Các Hiện Tượng Bí Ẩn,31200.0,Cty TNHH TM&amp;DV VH GD Phía Nam,,,,,sách bí ẩn
50361488.0,5.0,2,Cẩm Nang Pháp Lý Và Tài Chính Khởi Nghiệp,47600.0,NXB Phụ Nữ Việt Nam,,,,,sách chính trị
50378902.0,4.9,31,Combo 2 Cuốn Sách Kĩ Năng Sống: Chiến Thắng Con Quỷ Trong Bạn + Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,184800.0,Thái Hà,,,Bìa mềm,,sách kĩ năng sống
50422377.0,0.0,0,"Combo Sách Hay Về Tâm Lí Tình Cảm Lứa Đôi:  Em Vốn Thích Cô Độc, Cho Đến Khi Có Anh + Chân Trời Góc Bể ( Tái Bản)",187200.0,Đinh Tị,,,Bìa mềm,,sách tình cảm
50440313.0,4.8,25,Những Truyện Hay Viết Cho Thiếu Nhi - Vũ Hùng,56000.0,NXB Kim Đồng,2020-01-03 00:00:00,14.5 x 20.5 cm,Bìa mềm,200.0,sách thiếu nhi
50475521.0,4.8,801,Đánh Thức Con Người Phi Thường Trong Bạn (Tái Bản 2020),114200.0,First News - Trí Việt,2020-03-14 14:07:52,<p>14.5x20.5 cm</p>,Bìa mềm,408.0,sách tiếng việt
50492650.0,0.0,0,Sách Học Tiếng Anh Hiệu Quả: Mind Map - English Grammar (Tái Bản 2019) - Phương Pháp Mới Học Và Nhớ Tiếng Anh Hiệu Quả Nhất,91800.0,First News - Trí Việt,,,Bìa mềm,,sách tiếng anh
50493901.0,0.0,0,"Truyện tranh ngụ ngôn dành cho thiếu nhi ( Song ngữ Anh- việt )Kiến và chim bồ câu ,",20000.0,Đại Mai Books,2020-03-18 10:57:26,<p>20x23cm</p>,,24.0,truyện tranh
50495166.0,0.0,0,Truyện tranh ngụ ngôn dành cho thiếu nhi ( Song ngữ Anh- việt ) Chú bé chăn cừu,20000.0,Đại Mai Books,2020-03-18 11:31:44,<p>20x23cm</p>,Bìa mềm,24.0,truyện tranh
50495419.0,0.0,0,Combo 10 cuốn Truyện tranh ngụ ngôn dành cho thiếu nhi ( Song ngữ Anh - việt ) ,203000.0,Đại Mai Books,2020-03-18 11:40:48,<p>20x23cm</p>,Bìa mềm,,truyện tranh
